id,area,priority,suite,steps,expected,status,actual,evidence
S12,Search,P2,Smoke,Search zzzzqaunmatched999.,Clear no-results state with actionable recovery; no stale rows.,PASS,No matching addresses; spelling/street-name guidance shown.,observations.json
S13,Search copy,P3,Full,Search nonexistent numeric ID 999999999.,No-result copy supports property-ID search and recommends checking the ID.,FAIL,Shows No matching addresses found and only address-oriented recovery. F07.,observations.json
S14,Validation,P2,Smoke,Clear the input completely; click Search.,Remain in place; required-field validation focuses input.,PASS,Please fill out this field; focus on address-search.,observations-notes.md
S15,Validation,P3,Full,Enter three spaces; click Search.,Trim before validation; stay in place with a useful required-field message.,FAIL,Navigates to /?q= and renders home without an explanation. F05.,observations.json
S16,Validation,P2,Full,"Fill 120 characters, then type one additional character using real keyboard input.",Input remains capped at 120; does not crash.,PASS,Additional character ignored; value length 120. Programmatic fill can bypass the limit and was excluded as a user-input defect.,observations-notes.md
S17,Validation,P2,Full,Paste 121 and 1000 characters; submit encoded long-query URL in isolated tests.,UI and server enforce documented bounds and show useful feedback.,NOT RUN,Keyboard limit checked; paste and server-side bounds not tested.,
S18,Search,P2,Full,"Search approved fixtures for fractional house numbers, hyphenated names, apostrophes and Unicode.",Identity is preserved; encoding is safe; no false substitutions.,NOT RUN,"1104 1/2 FIESTA ST and 1104 1/2 TILLERY ST appeared as suggestions, but their direct search paths were not tested.",
S19,Search,P2,Full,"Test one-character, two-character and house-number-only submissions.",Minimum-query behavior is intentional and explained; no unbounded scan or misleading zero result.,PARTIAL,House-number-only suggestions tested; minimum-length boundaries and broad submitted search pending.,
S20,Search,P1,Full,Compare suggestion and submitted-search IDs for each approved fixture.,Correct property appears consistently; no unrelated exact-ID match.,PARTIAL,Consistency checked for 1104 Paw and 736302; county-wide fixture set pending.,
A01,Suggestions,P1,Smoke,Type 1104; then 1104 Paw.,At most the intended number of suggestions; narrowing shows ID 736302.,PASS,Eight house-number suggestions; one result after narrowing.,observations-notes.md
A02,Suggestions,P2,Full,Type a known address and observe the pending state.,Visible and programmatic loading status; no misleading empty flash.,PARTIAL,Finding matching addresses… observed in both visible text and status. Flash duration not instrumented.,observations-notes.md
A03,Suggestions,P1,Smoke,Type 1102 Paw; ArrowDown; Enter.,Active option is identified through ARIA; Enter opens selected ID 736303.,PASS,Correct property route opened; aria-activedescendant observed on selection.,observations-notes.md
A04,Suggestions,P1,Smoke,Type 1104 Paw; click the matching option.,Opens property 736302 with useful return-to-results context.,PASS,Opened /property/736302?q=1104+Paw&page=0.,observations-notes.md
A05,Suggestions,P2,Full,"With suggestions open, press Escape; then clear input.",Escape closes without erasing query; clear removes options and closes list.,PASS,aria-expanded false; query retained on Escape; zero options after clear.,observations-notes.md
A06,Suggestions,P1,Smoke,Rapidly replace 1104 Paw → 1402 High → 1102 Paw.,Final suggestions correspond only to the last query.,PASS,"Final list contained 1102 PAW PRINT, ID 736303. Natural network order only.",observations-notes.md
A07,Suggestions,P1,Full,Delay response A by 2 seconds and response B by 100 ms; enter A then B; release both.,A never overwrites B; selection cannot navigate to an old-query property.,NOT RUN,Controlled response reordering unavailable.,
A08,Suggestions,P1,Full,Start slow suggestion request; clear input or navigate away before it completes.,"No resurrected popup, stale rows or unmounted-state error.",NOT RUN,Immediate clear passed; delayed-response case pending.,
A09,Suggestions,P2,Full,"Use ArrowUp/Down through first and last items, Tab and Shift+Tab, Escape and click outside.",Documented boundaries; no focus trap; popup closes appropriately; focus remains visible.,PARTIAL,ArrowDown and Escape checked; full boundary and Tab sequence pending.,
A10,Suggestions,P2,Full,Repeat a previous query after clearing.,Cached options remain correct; cache cannot override a newer query or dataset version.,PARTIAL,Repeated 1104 Paw returned correct cached options quickly; invalidation not tested.,observations.json
R01,Results,P1,Smoke,"After suggestions are dismissed, press Enter.",Submits the typed query and renders matching results.,PASS,1104 Paw submitted; results URL and one match confirmed.,observations-notes.md
R02,Results,P2,Full,Submit a search and inspect pending UI.,Search becomes disabled and says Searching… while pending.,PASS,Disabled Searching… observed. Duplicate request count not measured.,observations-notes.md
R03,Results,P1,Smoke,Search West 36th Street; select Next.,"Page 2 retains query and shows 21–38, with Previous and no Next.",PASS,"Observed page=1, 18 rows, Previous only.",observations-notes.md
R04,Results,P2,Full,From page 2 submit a different query.,Pagination resets to first page.,PASS,W 36 St search reset URL to no page parameter and displayed 1–20.,observations.json
R05,Results,P1,Smoke,Open result for 1104 Paw; use Back to search results; refresh results.,Correct property opens; query is retained on return and refresh.,PASS,ID 736302; query 1104 Paw retained.,observations-notes.md
R06,Results,P2,Full,From home type and select a suggestion; use browser Back.,Typed query is retained so the user can revise it.,FAIL,Home returned with a blank input after selecting 1102 Paw. The property-page Back to search results link does preserve context. F08.,observations-notes.md
R07,Results,P2,Full,Open a result on page 2; return; use browser Forward/Back.,"Page, query, row and useful scroll position restore consistently.",NOT RUN,Page-zero return checked; page-two history and scroll restoration pending.,
R08,Results,P2,Full,Activate Market value help with mouse and keyboard; press Escape.,Readable explanation appears and Escape dismisses it.,PASS,Tooltip explains source-year Jan 1 market estimate and distinguishes tax bill; Escape dismissed.,observations-notes.md
R09,Results,P2,Full,"Inspect result summaries, row identity, currency and source labels.","Each row has unambiguous address/ID, formatted currency and a dated source.",PASS,"Observed across exact, fuzzy and multi-result pages. Missing city falls back to ZIP. Not a source-data reconciliation.",qa-results-desktop.jpg
R10,Data,P1,Full,"Use approved public fixtures for parks, $35 records and other excluded classes in suggestions and submitted search.",Published exclusion policy is applied consistently; valid residential records remain searchable.,NOT RUN,No authoritative excluded-property fixtures available in this run.,
R11,Data,P1,Full,Join expected fixture IDs and displayed values to the selected certified release; compare property detail.,"Source year, value and identity agree; missing values are not displayed as zero.",PARTIAL,ID and home/detail consistency observed; current TCAD or database reconciliation not executed.,
R12,Results,P2,Full,Open a bookmarked page beyond final pagination; then change query.,Useful empty-page recovery and a first-page link; no trapped empty state.,NOT RUN,,
P01,Timing,P1,Full,Measure final-keystroke → correct suggestion rendered for known prefixes; log query and cache state.,Meets approved suggestion latency target with no stale results.,PARTIAL,Six natural samples 16–752 ms. Mixed cache state and tool overhead; not p95 certification.,observations.json
P02,Timing,P1,Full,Measure submit → correct results settled; repeat exact address and ID six times.,Correct results on every run; compare against approved budget.,PASS,"Six additional warm-session samples 1196–1496 ms, all correct. Limited sample; full percentile gate pending.",observations.json
P03,Timing,P1,Full,"Run the performance protocol below: fresh-session and warm cases with controlled network, 20+ samples per query class.","p50/p95, error rate and budgets reported separately by environment and cache state.",NOT RUN,,
P04,Timing,P1,Full,"Type characters 50 ms apart, 150 ms apart, then 500 ms apart; observe request count.",Configured debounce works; rapid burst issues one final request after the debounce interval; no duplicate Enter request.,NOT RUN,The loading label was visible; request count and exact debounce not instrumented.,
P05,Recovery,P1,Full,"Inject suggestion 500, 429 and timeout separately; submit the query normally.",Suggestions fail gracefully; main search remains usable; no failure represented as no matches.,NOT RUN,,
P06,Recovery,P1,Full,"Inject submitted-search 500, disconnect, timeout and reconnect.","Honest error, retained query, bounded wait, usable retry; no indefinite spinner.",NOT RUN,,
P07,Timing,P1,Full,"Slow results, then double-click Search, press Enter repeatedly and edit query while pending.",No duplicate navigation; latest intended query wins; pending state remains understandable.,NOT RUN,,
P08,Timing,P2,Full,"Measure initial home rendering, input responsiveness and layout shifts under standard and slow mobile profiles.",Meet approved rendering/input/layout budgets; no search displacement while typing.,NOT RUN,"No Lighthouse, network waterfall or real-user metrics captured.",
X01,Accessibility,P1,Full,"Inspect search label, combobox/listbox association, expanded state, status, image alt text and page language.",Semantics exist and track actual state.,PARTIAL,"Labels, status, lang=en, logo alt, expanded state and active option confirmed; screen-reader behavior pending.",
X02,Accessibility,P1,Full,Complete home→suggestion→property→results with keyboard only; include Skip to content.,Logical focus order and visible focus; results announced; no traps.,PARTIAL,"Selection, submit, Escape and modal focus restoration work; complete sequence and screen reader not tested. F06 affects CTA focus.",
X03,Accessibility,P1,Full,"Run NVDA/Chrome and VoiceOver/Safari for loading, suggestions, no-results, error, tooltip and dialog.","Names, counts, selection and route changes are announced once at useful times.",NOT RUN,,
X04,Accessibility,P2,Full,"Measure all text/control contrast, focus visibility, 200% zoom, 400% reflow, target sizes and text spacing.","Meet the team’s approved accessibility standard, including no clipped or hidden controls.",NOT RUN,No formal conformance claim from screenshots alone.,
X05,Responsive,P1,Full,"At widths 320, 375/390, 768, 1024 and 1440, inspect every home and search state.","No horizontal overflow, clipped text, overlapping suggestions or unusable controls; column/header alignment holds.",NOT RUN,Available live viewport was 1363 × 936. Resize/zoom attempts did not change it.,
X06,Responsive,P1,Full,"On iOS Safari and Android Chrome, type with software keyboard, select suggestions, scroll and rotate.",Search and suggestion list remain usable above keyboard; tap targets and dismissal work.,NOT RUN,,
X07,Cross-browser,P1,Full,"Repeat smoke suite in current Chrome, Edge, Firefox and Safari; record versions.","Same identities, navigation and input behaviors; no browser-specific clipping.",PARTIAL,Cloud Chrome session exercised; other browsers not available.,
X08,Observability,P2,Full,Review application console errors during the run and record failing requests separately.,No application errors; infrastructure/extension errors classified separately.,PASS,No application warn/error messages in inspected last 200 entries after excluding chrome-extension messages. Not an exhaustive network audit.,observations.json
X09,Seasonality,P1,Full,"In isolated fixtures switch post-protest, preliminary, protest and next-year release states.",Hero/example/current-release text and search source remain consistent; unavailable data has clear fallbacks.,NOT RUN,Only 2026 certified/post-protest live state observed.,
X10,Content integrity,P1,Full,Test benign special characters and encoded input in an isolated environment; inspect rendering.,Search text is treated as text; no markup execution or query leakage in error content.,NOT RUN,Security testing was not performed in this live UI review.,
